id,Label
22406,0
19495,0
59875,0
40297,0
50696,0
12761,0
33084,0
37570,0
23831,0
10742,1
12234,0
16677,0
67315,0
24782,0
23235,0
68084,1
14951,0
6818,0
44748,0
20345,0
32147,0
70021,0
14990,0
2600,0
22181,0
76760,0
40303,1
30921,0
62174,0
22633,0
86852,0
18834,0
83705,0
53973,0
40977,0
21492,0
11585,0
17510,0
63410,0
7585,0
33898,1
1469,0
13097,0
31803,0
5810,0
89084,0
70999,0
74668,0
34347,0
68591,0
60747,0
78,1
52704,0
6526,0
23853,0
42828,1
50436,1
40619,0
32653,1
19885,0
60192,0
88273,0
8058,0
29267,0
82945,0
84342,0
10981,0
64492,0
37745,0
8081,0
81217,0
63742,0
31291,0
80510,0
43115,0
42291,0
34666,0
15626,0
20137,0
73125,0
1007,1
81633,0
31530,0
63884,0
9813,0
16040,0
73299,0
82774,0
7420,0
74944,0
59263,0
1158,0
86461,0
45964,1
26844,0
3457,0
51903,0
14054,0
85035,0
86731,0
31833,0
38220,0
89988,0
67498,1
45695,0
56009,0
71514,0
51614,0
38927,0
29224,0
37336,0
52368,0
11282,0
52461,0
56725,0
27110,0
67900,0
5745,0
42313,0
12621,0
50507,0
12708,0
17085,0
76947,0
85837,0
60760,0
10606,1
88777,1
82028,0
35308,0
46753,0
80706,0
52310,0
39474,0
75009,0
44426,0
18863,0
21630,0
71798,0
77209,0
21542,0
8722,0
29446,0
10473,0
39690,1
26914,0
64025,0
35863,0
57576,0
56232,0
8152,0
32963,0
77055,0
38489,0
52870,0
21870,0
3588,0
52023,0
1634,0
87647,0
67142,0
60661,0
60250,0
4774,0
37633,0
24482,0
34494,0
66255,0
30177,0
74758,0
71819,0
84272,0
27876,0
30672,0
65490,0
14940,0
1688,0
67758,0
87679,0
10101,0
58499,0
44611,0
4051,0
70803,0
28476,0
46696,0
2912,0
46525,0
77787,0
62148,0
48368,1
11086,0
89785,0
30641,0
19858,0
81273,0
3400,0
40521,0
19934,0
16866,0
82020,0
63949,0
68692,0
17663,0
12539,0
79844,0
43292,1
13236,0
76447,0
76679,0
25050,0
48863,1
11456,0
84332,0
61816,0
5861,0
84992,0
61338,0
50681,0
69807,0
76735,0
41083,0
7406,0
53425,1
72425,0
66926,0
42802,0
41418,0
24734,0
38941,0
38786,0
15113,0
22956,0
35553,0
26009,0
85485,0
12298,0
44275,1
41775,0
19990,0
25669,0
38761,0
24415,1
44550,0
16795,0
25723,0
89019,0
52953,0
50013,1
67354,0
70223,0
83394,0
5285,0
72525,0
87352,0
21671,1
7478,0
13829,0
87394,1
52951,0
28880,0
23976,0
17445,0
39304,0
34185,0
32060,0
8265,0
17969,0
2445,0
67048,0
53211,0
31631,0
16012,0
43694,0
57794,0
81394,0
4977,0
41514,0
11437,0
55217,0
2261,0
47944,0
38655,0
1920,0
75110,0
7908,0
16565,0
87794,0
77482,0
40175,0
87224,1
5385,0
13191,0
36851,1
8558,0
85669,0
88040,0
9265,0
82025,0
67680,0
36470,0
74697,0
61433,0
18943,0
35453,0
20857,1
57123,0
73344,0
26299,0
83003,1
74672,0
87637,0
56564,0
1778,0
57650,0
69749,0
32767,0
13014,0
49635,0
83707,0
59957,0
65664,0
85086,0
84878,1
45184,0
48120,0
2628,0
34312,0
66491,0
85487,0
3296,0
18684,0
12231,0
63733,1
62688,0
58070,0
50956,0
89423,0
58561,1
22003,0
41903,0
81584,0
56878,0
6908,0
73719,0
88878,0
62147,0
39557,1
65737,0
1628,0
40038,0
38298,0
62491,0
50440,0
977,0
64920,0
17868,0
44070,0
43306,0
45836,1
9682,0
58485,0
51480,0
50778,0
17051,0
48689,0
75634,0
37613,0
55221,0
87319,0
76526,0
59127,0
87559,0
